Date,momentum,value,quality,low_vol,size,growth,dividend,profitability
2021-03-26,1.0,1.074476597788929,1.0,1.0,0.9659194119442372,1.0,1.0,1.0
2021-03-29,1.0,1.0649347200494965,1.0,1.0,0.9694271349227278,1.0,1.0,1.0
2021-03-30,1.0,1.0703173900715213,1.0,1.0,0.9651304066377575,1.0,1.0,1.0
2021-03-31,1.0,1.0677432535017768,1.0,1.0,0.9623848308761346,1.0,1.0,1.0
2021-04-01,1.0,1.0661358588190544,1.0,1.0,0.9641274579603173,1.0,1.0,1.0
2021-04-05,1.0,1.0623433924057024,1.0,1.0,0.9656965430300227,1.0,1.0,1.0
2021-04-06,1.0,1.0615144791134417,1.0,1.0,0.9673149485996685,1.0,1.0,1.0
2021-04-07,1.0,1.0672346513082416,1.0075872497372018,1.0,0.9616511337358091,1.0,1.0,1.0
2021-04-08,1.0,1.0542014953842553,1.0018603383499853,1.0,0.9682896757003534,1.0,1.0,1.0
2021-04-09,1.0,1.0447904115188722,1.0051806443074138,1.0,0.975358083265505,1.0,1.0,1.0
2021-04-12,1.0,1.0358492587037076,1.0180311723919415,1.0,0.9855290926957828,1.0,1.0,1.0
2021-04-13,1.0,1.0383039985632223,1.0128283155777804,1.0,0.982553441466165,1.0,1.0,1.0
2021-04-14,1.0,1.044176416061673,1.0106804450859308,1.0,0.9810616245754746,1.0,1.0,1.0
2021-04-15,1.0,1.0306732288299738,1.0204921039710855,1.0,0.9910820986639131,1.0,1.0,1.0
2021-04-16,1.0,1.0238026932989586,1.0288079678098045,1.0,0.9951399820248584,1.0,1.0,1.0
2021-04-19,1.0,1.02071479016511,1.0459453667834389,1.0,1.0017597543526937,1.0,1.0,1.0
2021-04-20,1.0,1.0055238253835208,1.0781619508448534,1.0,1.0147887025239823,1.0,1.0,1.0
2021-04-21,1.0,1.0163987427714853,1.0505942782398967,1.0,1.0055544996217656,1.0,1.0,1.0
2021-04-22,1.0,1.006585308325866,1.0510321265965343,1.0,1.018831472623948,1.0,1.0,1.0
2021-04-23,1.0,1.0083776423899409,1.0267900644417007,1.0,1.0155150705213234,1.0,1.0,1.0
2021-04-26,1.0,1.0153901289938303,0.9992209022566046,1.0,1.0091276196361516,1.0,1.0,1.0
2021-04-27,1.0,1.0126370727010512,0.9948946582734923,1.0,1.0091417072575506,1.0,1.0,1.0
2021-04-28,1.0,1.0272289501332004,0.9945546480453273,1.0,1.0021450326924768,1.0,1.0,1.0
2021-04-29,1.0,1.030577070737186,1.0128588309238082,1.0,1.0023406923432654,1.0,1.0,1.0
2021-04-30,1.0,1.031149410117804,1.0360291564437256,1.0,0.9947868159260516,1.0,1.0,1.0
2021-05-03,1.0,1.0361395413454688,1.0454999695267082,1.0,0.9956599513705751,1.0,1.0,1.0
2021-05-04,1.0,1.0371438481511361,1.068907830804122,1.0,1.0031131842275907,1.0,1.0,1.0
2021-05-05,1.0,1.0490566242262485,1.0547299339497476,1.0,0.9985220726768526,1.0,1.0,1.0
2021-05-06,1.0,1.0534354985362095,1.0747850207024618,1.0,0.9935980723917908,1.0,1.0,1.0
2021-05-07,1.0,1.0564084003965815,1.0484937564089973,1.0,0.990816969689343,1.0,1.0,1.0
2021-05-10,1.0,1.0547582792003536,1.083523300860717,1.0,0.999158263091084,1.0,1.0,1.0
2021-05-11,1.0,1.060605193418202,1.070419551862603,1.0,0.9961350659465082,1.0,1.0,1.0
2021-05-12,1.0,1.065376523945791,1.093143499007514,1.0,0.9949062167637549,1.0,1.0,1.0
2021-05-13,1.0,1.05324414454551,1.1098512379426004,1.0,1.0061429596861104,1.0,1.0,1.0
2021-05-14,1.0,1.0701398648056626,1.0645711467819745,1.0,0.9891300566727842,1.0,1.0,1.0
2021-05-17,1.0,1.0849948938238678,1.0631455923129032,1.0,0.982121902953458,1.0,1.0,1.0
2021-05-18,1.0,1.0866210042360438,1.0609584042727298,1.0,0.9770045784007569,1.0,1.0,1.0
2021-05-19,1.0,1.0795047774055506,1.0597290332860294,1.0,0.9784077943560527,1.0,1.0,1.0
2021-05-20,1.0,1.0723950596007672,1.054169255680751,1.0,0.9836735036687165,1.0,1.0,1.0
2021-05-21,1.0,1.0731125226099234,1.0590224256334637,1.0,0.9809958606664971,1.0,1.0,1.0
2021-05-24,1.0,1.0755701552445247,1.044111644942383,1.0,0.9754078796063881,1.0,1.0,1.0
2021-05-25,1.0,1.0644197369937751,1.0451149908151196,1.0,0.9787237111035053,1.0,1.0,1.0
2021-05-26,1.0,1.0755870992333043,1.0238261663104435,1.0,0.9704896776616262,1.0,1.0,1.0
2021-05-27,1.0,1.0774678142219694,1.0079334912351936,1.0,0.9649777309407239,1.0,1.0,1.0
2021-05-28,1.0,1.073311366338004,1.012853293834681,1.0,0.9689033855574561,1.0,1.0,1.0
2021-06-01,1.0,1.0926517993800375,0.9946885392213556,1.0,0.959127289458887,1.0,1.0,1.0
2021-06-02,1.0,1.1059545414110656,0.9932689512520326,1.0,0.9502030477474942,1.0,1.0,1.0
2021-06-03,1.0,1.1083861077895014,1.0116738288631835,1.0,0.9489619937974493,1.0,1.0,1.0
2021-06-04,1.0,1.106911225010608,1.0004340034100772,1.0,0.9493938496519345,1.0,1.0,1.0
2021-06-07,1.0,1.1096935094053186,0.9927824989096513,1.0,0.9444104819653446,1.0,1.0,1.0
2021-06-08,1.0,1.1032638652350797,0.9857865131497541,1.0,0.9543129372813046,1.0,1.0,1.0
2021-06-09,1.0,1.0988413582296366,0.9955440127327374,1.0,0.9549583582820741,1.0,1.0,1.0
2021-06-10,1.0,1.092542918541388,0.9994043676722564,1.0,0.9591604579137138,1.0,1.0,1.0
2021-06-11,1.0,1.0903374624562447,0.9939594496422929,1.0,0.9615535616947976,1.0,1.0,1.0
2021-06-14,1.0,1.080575667323848,1.0009462356544165,1.0,0.9654007901797848,1.0,1.0,1.0
2021-06-15,1.0,1.0787819291377037,1.0051887925495693,1.0,0.969061482522755,1.0,1.0,1.0
2021-06-16,1.0,1.0802196194026035,0.9947737809856662,1.0,0.9672738757477154,1.0,1.0,1.0
2021-06-17,1.0,1.0557808110212192,1.0029304437900846,1.0,0.9746555861439705,1.0,1.0,1.0
2021-06-18,1.0,1.0456690154617148,1.0004097628762714,1.0,0.9765660505038922,1.0,1.0,1.0
2021-06-21,1.0,1.048326219532282,0.990010537406874,1.0,0.9790319810604383,1.0,1.0,1.0
2021-06-22,1.0,1.0462980460114355,0.9853349535258986,1.0,0.9790388481827103,1.0,1.0,1.0
2021-06-23,1.0,1.0515928419071396,0.9712157998934668,1.0,0.9763389586513516,1.0,1.0,1.0
2021-06-24,1.0,1.0566170441250946,0.9641261127061403,1.0,0.971298314188031,1.0,1.0,1.0
2021-06-25,1.0,1.058034939521453,0.9656969701857848,1.0,0.9718510435719002,1.0,1.0,1.0
2021-06-28,1.0,1.0489940852722204,0.9720751764512183,1.0,0.9708506378592726,1.0,1.0,1.0
2021-06-29,1.0,1.042355444703464,0.9670798159311845,1.0,0.9764856766868096,1.0,1.0,1.0
2021-06-30,1.0,1.054231635057914,0.9643523508144095,1.0,0.9663415491071357,1.0,1.0,1.0
2021-07-01,1.0,1.0529942645690233,0.9643635552459783,1.0,0.9705178933361448,1.0,1.0,1.0
2021-07-02,1.0,1.047157644840969,0.9712741952091012,1.0,0.9730999827575069,1.0,1.0,1.0
2021-07-06,1.0,1.0265127148849933,0.9888405011019785,1.0,0.9845190079034671,1.0,1.0,1.0
2021-07-07,1.0,1.0132770302478762,1.0078153173090119,1.021474630566893,0.9996836645142274,1.0,1.0,1.0104640713937951
2021-07-08,1.0,1.0121336546772182,1.0095416828861659,1.0257682996466868,1.0004397219037442,1.0,1.0,1.0052458268815452
2021-07-09,1.0,1.0216132866021075,0.995408716124034,1.0089630248414285,0.993775251677462,1.0,1.0,1.0090415306691087
2021-07-12,1.0,1.020441011976684,0.9895559159572087,1.0049333715143833,0.9893221902416762,1.0,1.0,1.0148009598312555
2021-07-13,1.0,1.0120212309069383,1.0005916884412465,1.013420657023038,0.9931465515350868,1.0,1.0,1.015215916991564
2021-07-14,1.0,1.00412637717461,1.0290556962608615,1.0403487025905556,0.9986610975440257,1.0,1.0,1.022759165379381
2021-07-15,1.0,0.9950380708632515,1.0493390762578632,1.064597164800039,1.0044515466617259,1.0,1.0,1.031038146283069
2021-07-16,1.0,0.9789040868508168,1.0726509459988853,1.0884146690115377,1.0173399010011999,1.0,1.0,1.0419775854054603
2021-07-19,1.0,0.9684955675529144,1.0813111309113699,1.0926405862595874,1.0202548432419167,1.0,1.0,1.0432999903876288
2021-07-20,1.0,0.971707955389299,1.0621513940805754,1.0726209316372803,1.0180318637086447,1.0,1.0,1.0401944594850352
2021-07-21,1.0,0.992362841917247,1.026868496668981,1.0362113637248629,0.9983954297758542,1.0,1.0,1.029407364541936
2021-07-22,1.0,0.977501968134276,1.0394024417801278,1.0437508522656374,1.0043413983013587,1.0,1.0,1.0393869641242528
2021-07-23,1.0,0.9637435395223397,1.0479121903200863,1.0510561930267162,1.0149329851987263,1.0,1.0,1.0502504425133583
2021-07-26,1.0,0.9809912041497596,1.0311584148926214,1.037825071353221,0.997671818767507,1.0,1.0,1.0417823624626794
2021-07-27,1.0,0.9727883558180712,1.0532470236088416,1.0650244740408892,1.0058586618305794,1.0,1.0,1.0518828863095286
2021-07-28,1.0,0.9788469310890819,1.0320682039303417,1.0373668596022803,1.0003894922739107,1.0,1.0,1.0444211904095304
2021-07-29,1.0,0.9785437884102076,1.0323158706423077,1.041077518933425,1.0006204876078157,1.0,1.0,1.0529646339722023
2021-07-30,1.0,0.9668687410006332,1.0392677723279529,1.0470858830030354,1.009593237473612,1.0,1.0,1.0543737292898763
