0
A
AAPL
ABNB
ABT
AIZ
ALGN
ALL
AMP
AMZN
APH
BG
BIIB
BKNG
BKR
BLDR
BMY
BR
BRO
BSX
BXP
CAH
CB
CBRE
CCL
CDNS
CHRW
CINF
CNC
CPAY
CPB
CSX
DHI
DLTR
DOC
DTE
EFX
EQIX
ES
EXE
EXR
FITB
FSLR
GEHC
GEN
HIG
HSY
IDXX
IPG
ISRG
JPM
K
KEYS
KHC
LHX
LIN
LKQ
LYB
MA
MAA
MLM
MMM
MNST
MPWR
MRK
MSFT
MTCH
NEM
NOW
NVDA
NWSA
O
OMC
PHM
PNW
RF
RL
ROP
RTX
SBAC
SHW
SYF
TAP
TPR
TSLA
TSN
TXN
UHS
V
VICI
VST
VZ
WEC
WELL
WMB
WST
WTW
XEL
XYL
ZBRA
